 	1	2	3	4	5	6	7	8	9	10	11	12
A	61932284.82	6128526.21	40525672.02	5944289.17	44346235.46	5645789.43	40755536.70	19711158.68	4218914.33	7651613.50	7165164.92	27005123.09
B	7546055.38	6470339.81	64662748.67	7838878.88	33479103.67	6283439.48	59630235.80	13490985.85	5377917.05	12491828.70	7170814.17	14772644.34
C	34144972.44	30474989.76	29913779.88	22125315.06	31855912.25	35907257.48	56075902.99	37501732.50	33532333.18	106500662.72	13671091.78	12455021.89
D	30791835.58	31956880.36	27590691.93	54459192.98	25142625.31	42948159.93	51870579.38	21701523.89	29321337.52	56610910.37	50213034.41	10548561.36
E	35222314.08	46309335.37	24279018.56	30459644.78	38031025.03	19514514.72	14614709.37	41310042.02	32996516.06	75849678.37	32481334.62	7928690.20
F	38120331.71	34596350.12	17476600.90	31439180.28	34592521.73	16117670.23	14027053.18	89435710.87	36062273.10	74998677.53	21889736.11	11240839.49
G	43636899.43	38648763.32	22505442.31	42417222.93	40471185.65	29394754.21	27132352.29	75611998.37	30114299.19	58986700.20	20078212.02	13678573.74
H	30702287.43	31016456.84	24969936.66	43175821.14	42657685.15	64068410.18	19034038.94	26949237.11	24547165.81	46110656.93	14327609.06	9778834.42
I	55031107.57	37471983.15	45057477.21	47725439.33	87929498.85	37213453.89	26628652.50	31242673.35	26137841.06	47832371.72	24529070.06	7306200.71
J	52200641.79	39498334.56	24226892.80	23998219.47	50261275.57	26390324.34	19335111.91	20091419.33	21004927.70	36123079.37	68102332.42	9306591.54
K	46164820.21	36857688.43	65863110.69	34732657.41	28997283.67	30129693.12	54033104.36	42476201.42	27970236.49	57487077.99	21479079.29	11551801.74
L	39936470.56	44638339.81	33049212.87	30321325.35	22819908.73	55042087.78	55599268.52	85496590.75	29408207.60	49508378.22	18937082.15	32408043.02
M	45705366.05	38410433.14	43930198.69	26673436.01	25306627.26	69112266.47	57115486.28	41985222.48	31141879.74	50397809.08	28699140.95	46275056.17
N	32139653.50	31040132.23	30923931.99	27491953.03	16816757.92	58506120.38	27550902.72	55729688.59	63939051.34	44057501.14	37341631.30	48870025.96
O	34328356.09	40351087.05	43263559.66	31304243.31	36929186.45	66887956.54	17982905.03	38516428.21	59003142.83	44799693.17	33250441.69	33538525.34
P	40103246.74	53988903.35	39707356.44	28686544.45	20832401.24	32658359.21	24448316.74	28725797.17	47802806.82	36372582.17	26815415.23	17008537.49
Q	40350267.95	36657751.96	26629435.21	33149988.51	20238525.95	19929240.24	47281046.92	24879452.46	59172764.23	30706627.84	22717159.38	24104399.17
R	35643267.05	32427348.35	18646017.60	41474126.56	21005854.37	25949136.19	70566827.90	24442943.01	25353915.02	35009828.49	20777740.57	16792045.40
S	40575267.47	28163085.53	26962573.22	100473020.15	29124890.59	45646477.01	51665030.10	25794796.69	21435451.69	59979012.90	29061352.67	43461141.33
T	45920474.57	39707469.84	57114039.96	125302621.85	68173416.98	54357673.04	88408383.95	37958936.94	17941754.42	74827623.06	61418364.26	38663821.05
U	60881830.14	52653981.38	49880279.08	90508976.93	38065080.75	48235538.60	37899729.94	66902112.89	29144517.84	55319164.12	34099541.64	67522716.51
V	53604950.13	44095297.18	38621848.98	46690796.38	56791889.86	38235278.15	49062915.55	27709782.70	23649244.37	55884990.85	24658374.96	30258065.25
W	58031270.56	44878777.90	35771149.74	29650127.63	37678840.29	29031434.74	20431499.92	26934229.72	25884950.59	68419634.06	35032769.97	36603992.23
X	38832368.50	30574456.99	32061706.21	13081481.72	38770426.21	11161451.56	11611706.10	11710030.81	22076778.42	51149942.19	44327732.23	35427031.03
