"char","idx","ipa","type","Examples"
"p",0,"p","consonant","p"
"b",1,"b","consonant","b"
"t",2,"t","consonant","t     tin     tIn"
"d",3,"d","consonant","d    din     dIn"
"k",4,"k","consonant","k    kin     kIn"
"g",5,"g","consonant","G   give     gIv"
"f",6,"f","consonant","f    fin      fIn"
"v",7,"v","consonant","v    vim    vIm"
"s",8,"s","consonant","s     sin     sIn"
"z",9,"z","consonant","z     zing   zIN"
"S",10,"ʃ","consonant","S    shin    Sin"
"Z",11,"ʒ","consonant","Z    measure"
"h",12,"h","consonant","h    hit     hIt"
"m",13,"m","consonant","m   mock   mAk"
"n",14,"n","consonant","n   knock   nAk"
"N",15,"ŋ","consonant","N   thing   TIN"
"r",16,"r","consonant","r   wrong   rON"
"l",17,"l","consonant","l    long    lON"
"x",18,"x","consonant","groot (dutch)"
"w",19,"w","Semi-vowel","w   wasp    wAsp"
"j",20,"j","Semi-vowel","j    yacht    jAt"
"a",21,"a","vowel","ratata"
"i",22,"i","vowel","i     ease     iz"
"e",23,"e","vowel","e    raise     rez"
"u",24,"u","vowel","u    lose     luz"
"o",25,"o","vowel","o    nose    noz"
"°",26,"ə","vowel","@  schwa"
2,27,,"vowel","bös"
"y",28,,,
"C",29,,,
9,30,,,
"#",31,"_","end","end character"
