"char","idx","ipa","type","Examples"
"p",0,"p","consonant","père, soupe "
"b",1,"b","consonant","bon, robe "
"t",2,"t","consonant","terre, vite"
"d",3,"d","consonant","dans, aide"
"k",4,"k","consonant","carré, laque "
"g",5,"g","consonant","gare, bague "
"f",6,"f","consonant","feu, neuf "
"v",7,"v","consonant","vous, rêve "
"s",8,"s","consonant","sale, dessous "
"z",9,"z","consonant","zéro, maison "
"S",10,"ʃ","consonant","chat, tâche "
"Z",11,"ʒ","consonant","gilet, mijoter "
"m",12,"m","consonant","main, femme "
"n",13,"n","consonant","nous, tonne "
"N",14,"ŋ","consonant","agneau, vigne "
"R",16,"ʁ","consonant","rue, venir "
"l",17,"l","consonant","liquide"
"G",18,"ng","consonant","camping (en)"
"w",20,"w","Semi-vowel","oui, nouer "
"j",21,"j","Semi-vowel","yeux, paille "
"a",23,"a","vowel","bat, plat "
"i",24,"i","vowel","lit, émis "
"y",25,"y","vowel","lu "
"u",26,"u","vowel","roue "
"o",27,"o","vowel","peau, mot "
"e",29,"e","vowel","été "
"°",31,"ə","vowel","abordera"
2,32,"ø","vowel","deux "
5,34,"ɛ̃","vowel","cinq, linge "
"@",36,"ɑ̃","vowel","ange "
"&",37,"ɔ̃","vowel","on, savon "
"#",39,"#","end","end"
