"char","idx"
"a",0
"ä",5
"b",7
"c",8
"d",10
"e",11
"ë",15
"f",16
"g",17
"h",18
"i",19
"ï",22
"j",23
"k",24
"l",25
"m",26
"n",27
"o",29
"ö",34
"p",36
"q",37
"r",38
"s",39
"t",41
"u",42
"ü",46
"v",47
"w",48
"x",49
"y",50
"z",51
"#",52
